symbol,timestamp_ms,timestamp_utc,funding_rate,realized_rate
ETH-USDT-SWAP,1781452800000,2026-06-14 16:00:00,3.22130449158e-05,3.22130449158e-05
ETH-USDT-SWAP,1781481600000,2026-06-15 00:00:00,-1.48154727363e-05,-1.48154727363e-05
ETH-USDT-SWAP,1781510400000,2026-06-15 08:00:00,1.82601357154e-05,1.82601357154e-05
ETH-USDT-SWAP,1781539200000,2026-06-15 16:00:00,-4.09078153245e-05,-4.09078153245e-05
ETH-USDT-SWAP,1781568000000,2026-06-16 00:00:00,1.47775536339e-05,1.47775536339e-05
ETH-USDT-SWAP,1781596800000,2026-06-16 08:00:00,2.1741324592e-06,2.1741324592e-06
ETH-USDT-SWAP,1781625600000,2026-06-16 16:00:00,3.10436405161e-05,3.10436405161e-05
ETH-USDT-SWAP,1781654400000,2026-06-17 00:00:00,3.09117993428e-05,3.09117993428e-05
ETH-USDT-SWAP,1781683200000,2026-06-17 08:00:00,1.12775535827e-05,1.12775535827e-05
ETH-USDT-SWAP,1781712000000,2026-06-17 16:00:00,-4.7170002475e-06,-4.7170002475e-06
ETH-USDT-SWAP,1781740800000,2026-06-18 00:00:00,3.54185339253e-05,3.54185339253e-05
ETH-USDT-SWAP,1781769600000,2026-06-18 08:00:00,1.90329683335e-05,1.90329683335e-05
ETH-USDT-SWAP,1781798400000,2026-06-18 16:00:00,1.30718888498e-05,1.30718888498e-05
ETH-USDT-SWAP,1781827200000,2026-06-19 00:00:00,1.56322710926e-05,1.56322710926e-05
ETH-USDT-SWAP,1781856000000,2026-06-19 08:00:00,-5.28434479401e-05,-5.28434479401e-05
ETH-USDT-SWAP,1781884800000,2026-06-19 16:00:00,1.06138315901e-05,1.06138315901e-05
ETH-USDT-SWAP,1781913600000,2026-06-20 00:00:00,-8.217112208e-06,-8.217112208e-06
ETH-USDT-SWAP,1781942400000,2026-06-20 08:00:00,-9.187697818e-07,-9.187697818e-07
ETH-USDT-SWAP,1781971200000,2026-06-20 16:00:00,9.9168524694e-06,9.9168524694e-06
ETH-USDT-SWAP,1782000000000,2026-06-21 00:00:00,3.11233669537e-05,3.11233669537e-05
ETH-USDT-SWAP,1782028800000,2026-06-21 08:00:00,3.9190692227e-05,3.9190692227e-05
ETH-USDT-SWAP,1782057600000,2026-06-21 16:00:00,-1.7294966874e-06,-1.7294966874e-06
ETH-USDT-SWAP,1782086400000,2026-06-22 00:00:00,-2.92640132201e-05,-2.92640132201e-05
ETH-USDT-SWAP,1782115200000,2026-06-22 08:00:00,5.51741548775e-05,5.51741548775e-05
ETH-USDT-SWAP,1782144000000,2026-06-22 16:00:00,8.7330633914e-06,8.7330633914e-06
ETH-USDT-SWAP,1782172800000,2026-06-23 00:00:00,4.47444157855e-05,4.47444157855e-05
ETH-USDT-SWAP,1782201600000,2026-06-23 08:00:00,2.23047769436e-05,2.23047769436e-05
ETH-USDT-SWAP,1782230400000,2026-06-23 16:00:00,-4.74888324712e-05,-4.74888324712e-05
ETH-USDT-SWAP,1782259200000,2026-06-24 00:00:00,4.15261451061e-05,4.15261451061e-05
ETH-USDT-SWAP,1782288000000,2026-06-24 08:00:00,1.87948373415e-05,1.87948373415e-05
ETH-USDT-SWAP,1782316800000,2026-06-24 16:00:00,3.57666052303e-05,3.57666052303e-05
ETH-USDT-SWAP,1782345600000,2026-06-25 00:00:00,4.30782742388e-05,4.30782742388e-05
ETH-USDT-SWAP,1782374400000,2026-06-25 08:00:00,7.400429038e-07,7.400429038e-07
ETH-USDT-SWAP,1782403200000,2026-06-25 16:00:00,-6.17221278092e-05,-6.17221278092e-05
ETH-USDT-SWAP,1782432000000,2026-06-26 00:00:00,-7.6342772872e-06,-7.6342772872e-06
ETH-USDT-SWAP,1782460800000,2026-06-26 08:00:00,-3.38612143513e-05,-3.38612143513e-05
ETH-USDT-SWAP,1782489600000,2026-06-26 16:00:00,-1.36249284027e-05,-1.36249284027e-05
ETH-USDT-SWAP,1782518400000,2026-06-27 00:00:00,-7.5739969418e-06,-7.5739969418e-06
ETH-USDT-SWAP,1782547200000,2026-06-27 08:00:00,-1.84404947661e-05,-1.84404947661e-05
ETH-USDT-SWAP,1782576000000,2026-06-27 16:00:00,-2.58696051293e-05,-2.58696051293e-05
ETH-USDT-SWAP,1782604800000,2026-06-28 00:00:00,1.61023717783e-05,1.61023717783e-05
ETH-USDT-SWAP,1782633600000,2026-06-28 08:00:00,5.2498408861e-06,5.2498408861e-06
ETH-USDT-SWAP,1782662400000,2026-06-28 16:00:00,2.95816582727e-05,2.95816582727e-05
ETH-USDT-SWAP,1782691200000,2026-06-29 00:00:00,-2.34101770987e-05,-2.34101770987e-05
ETH-USDT-SWAP,1782720000000,2026-06-29 08:00:00,6.1876644647e-06,6.1876644647e-06
ETH-USDT-SWAP,1782748800000,2026-06-29 16:00:00,1.56100614198e-05,1.56100614198e-05
ETH-USDT-SWAP,1782777600000,2026-06-30 00:00:00,3.80240674401e-05,3.80240674401e-05
ETH-USDT-SWAP,1782806400000,2026-06-30 08:00:00,-6.0488193957e-06,-6.0488193957e-06
ETH-USDT-SWAP,1782835200000,2026-06-30 16:00:00,7.21824183872e-05,7.21824183872e-05
ETH-USDT-SWAP,1782864000000,2026-07-01 00:00:00,6.60988957706e-05,6.60988957706e-05
ETH-USDT-SWAP,1782892800000,2026-07-01 08:00:00,3.03769550576e-05,3.03769550576e-05
ETH-USDT-SWAP,1782921600000,2026-07-01 16:00:00,9.0161202807e-06,9.0161202807e-06
ETH-USDT-SWAP,1782950400000,2026-07-02 00:00:00,2.15009551479e-05,2.15009551479e-05
ETH-USDT-SWAP,1782979200000,2026-07-02 08:00:00,6.07032025056e-05,6.07032025056e-05
ETH-USDT-SWAP,1783008000000,2026-07-02 16:00:00,4.17278103235e-05,4.17278103235e-05
ETH-USDT-SWAP,1783036800000,2026-07-03 00:00:00,3.67640954252e-05,3.67640954252e-05
ETH-USDT-SWAP,1783065600000,2026-07-03 08:00:00,7.76998564309e-05,7.76998564309e-05
ETH-USDT-SWAP,1783094400000,2026-07-03 16:00:00,5.88368007291e-05,5.88368007291e-05
ETH-USDT-SWAP,1783123200000,2026-07-04 00:00:00,7.24813657104e-05,7.24813657104e-05
ETH-USDT-SWAP,1783152000000,2026-07-04 08:00:00,7.45597493041e-05,7.45597493041e-05
ETH-USDT-SWAP,1783180800000,2026-07-04 16:00:00,2.28901001596e-05,2.28901001596e-05
ETH-USDT-SWAP,1783209600000,2026-07-05 00:00:00,9.68990038946e-05,9.68990038946e-05
ETH-USDT-SWAP,1783238400000,2026-07-05 08:00:00,7.03063439524e-05,7.03063439524e-05
ETH-USDT-SWAP,1783267200000,2026-07-05 16:00:00,5.63044651547e-05,5.63044651547e-05
ETH-USDT-SWAP,1783296000000,2026-07-06 00:00:00,6.62427337674e-05,6.62427337674e-05
ETH-USDT-SWAP,1783324800000,2026-07-06 08:00:00,6.10400190784e-05,6.10400190784e-05
ETH-USDT-SWAP,1783353600000,2026-07-06 16:00:00,4.94066073094e-05,4.94066073094e-05
ETH-USDT-SWAP,1783382400000,2026-07-07 00:00:00,9.25998620273e-05,9.25998620273e-05
